id,sort_order,color,fabric,name,description,image,is_eco,eco_order,cleancode,attributes,is_available
12,13,brown,woven,Broderick Natural,"A classic twill weave. Subtle two-tone coloration with a touch of streamlined texture.<br><br>Our Eco-Performance fabrics are super-durable, easy to clean and made to withstand real life. Includes REPREVE&#174; fibers made from recycled plastic bottles.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_vfieslsul17n5dbao6vhlg5j3d/-B540-FJPG%2CQ40,1,4,W,"A little texture|Stain-resistant|water&#8208;repellent|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|67&#37; Polyester, 33&#37; REPREVE&#174; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean.",1
13,14,brown,woven,Fincher Buff,"A textured weave with varying yarns and lots of soft, raised texture. Saturated color. Slightly brushed feel.<br><br>Our Eco-Performance fabrics are super-durable, easy to clean and made to withstand real life. Includes REPREVE&#174; fibers made from recycled plastic bottles.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_8n8oo9va0p38pe5964nbsjft37/-B540-FJPG%2CQ40,1,5,W,"Lots of soft texture|Stain-resistant|water&#8208;repellent|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|63&#37; Polyester, 35&#37; REPREVE&#174; Polyester, 2&#37; Nylon|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean.",1
14,16,brown,woven,Broderick Sand,"A classic twill weave. Slightly speckled color with a touch of streamlined texture.<br><br>Our Eco-Performance fabrics are super-durable, easy to clean and made to withstand real life. Includes REPREVE&#174; fibers made from recycled plastic bottles.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_acp3cq9q0p1r9bm34bhcmicm7h/-B540-FJPG%2CQ40,1,9,W,"A little texture|Stain-resistant|water&#8208;repellent|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|67&#37; Polyester, 33&#37; REPREVE&#174; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean.",1
15,17,gray,woven,Broderick Charcoal,"A classic twill weave. Slightly speckled color with a touch of streamlined texture.<br><br>Our Eco-Performance fabrics are super-durable, easy to clean and made to withstand real life. Includes REPREVE&#174; fibers made from recycled plastic bottles.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_kr08bb5b9t1i98pg8n2de5121g/-B540-FJPG%2CQ40,1,16,W,"A little texture|Stain-resistant|water&#8208;repellent|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|67&#37; Polyester, 33&#37; REPREVE&#174; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean.",1
16,19,gray,woven,Burmese Granite,Textured weave with a slightly brushed-like finish (thanks to a few chenille yarns). Yarns feature size and color variations. Finished with the perfect amount of shine.,https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_gmcrvl35mp7up9s57fc5rhjm2i/-B540-FJPG%2CQ40,0,0,WS,"A hint of raised, soft texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code WS. Spot clean using distilled water and water&#8208;based cleaning agents, an upholstery shampoo, foam from a mild detergent, or mild dry-cleaning cleaning solvents. Do not over wet. Pile fabrics may require brushing to restore appearance.",1
17,22,brown,woven,Presidio Chocolate,"A classic flat weave. Super-subtle color variation and smooth to the touch.<br><br>Our Eco-Performance fabrics are super-durable, easy to clean and made to withstand real life. Includes REPREVE&#174; fibers made from recycled plastic bottles.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_njf5jc91gd7gl9h8ocqhas3g0r/-B540-FJPG%2CQ40,1,12,W,"Smooth|Stain-resistant|water&#8208;repellent|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|66&#37; Polyester, 33&#37; REPREVE&#174; Polyester, 1&#37; Nylon|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean.",1
18,23,gray,woven,Laurent Charcoal,A seamless tight weave. Polished and clean with a smooth surface. Subtle hint of shine.,https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_kjrig2f59915j6jtrjd97edd6l/-B540-FJPG%2CQ40,0,0,W,"Flat weave with smooth texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean.",1
19,24,gray,woven,Presidio Steel,"A classic flat weave. Super-subtle color variation and smooth to the touch.<br><br>Our Eco-Performance fabrics are super-durable, easy to clean and made to withstand real life. Includes REPREVE&#174; fibers made from recycled plastic bottles.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_8eoi2138u90un4jb65rd3vtq7f/-B540-FJPG%2CQ40,1,20,W,"Smooth|Stain-resistant|water&#8208;repellent|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|66&#37; Polyester, 33&#37; REPREVE&#174; Polyester, 1&#37; Nylon|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean.",1
20,25,gray,woven,Dudley Gray,Textured weave with a slightly brushed-like finish. Yarns feature size and subtle color variations. Finished with a of touch shine.,https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_ertaq95agd4251ca4bcaa5s27v/-B540-FJPG%2CQ40,0,0,W,"Richly textured|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean.",1
21,26,gray,woven,Dudley Indigo,Textured weave with a slightly brushed-like finish. Yarns feature size and subtle color variations. Finished with a of touch shine.,https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_993pt5qq4h1i547c76v4iauv39/-B540-FJPG%2CQ40,0,0,W,"Richly textured|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean.",1
22,27,gray,woven,Elliston Gray,"Classic, textured weave. Slightly raised yarns feature size and color variations. Multidimensional look is great for hiding wear and tear.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_t5q0ptg1gd72pcgmkvpc23m16j/-B540-FJPG%2CQ40,0,0,W,"Brushed texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean.",1
23,28,gray|green,woven,Broderick Sea Glass,"A classic twill weave. Slightly speckled color with a touch of streamlined texture.<br><br>Our Eco-Performance fabrics are super-durable, easy to clean and made to withstand real life. Includes REPREVE&#174; fibers made from recycled plastic bottles.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_653vkhsvrp40ne659bn3n2d81s/-B540-FJPG%2CQ40,1,1,W,"A little texture|Stain-resistant|water&#8208;repellent|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|67&#37; Polyester, 33&#37; REPREVE&#174; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean.",1
24,29,gray,woven,Pandora Pepper ,"Classic, textured weave. Slightly raised yarns feature size and color variations. Multidimensional look is great for hiding wear and tear.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_dnoocl41op27r4bfa6v6fklq4e/-B540-FJPG%2CQ40,0,0,S,"Brushed texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code S. Spot clean with mild, water&#8208;free cleaning solvents only. Do not use water.",1
25,30,blue,woven,Broderick Indigo,"A classic twill weave. Slightly speckled color with a touch of streamlined texture.<br><br>Our Eco-Performance fabrics are super-durable, easy to clean and made to withstand real life. Includes REPREVE&#174; fibers made from recycled plastic bottles.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_of264ebe857itb8793meaai42b/-B540-FJPG%2CQ40,1,28,W,"A little texture|Stain-resistant|water&#8208;repellent|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|67&#37; Polyester, 33&#37; REPREVE&#174; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean.",1
26,32,brown,brushed woven,Bridger Shell,"A luxuriously soft weave with slightly raised, brushed texture (i.e., smooth and refined). Subtle two-tone coloration.<br><br>Our Eco-Performance fabrics are super-durable, easy to clean and made to withstand real life. Includes REPREVE&#174; fibers made from recycled plastic bottles.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_trkln78lrl7gb8toap2ikhmi5a/-B540-FJPG%2CQ40,1,6,W,"Brushed texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|Stain-resistant|water&#8208;repellent/68&#37; Polyester, 32&#37; REPREVE&#174; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
27,33,white,brushed woven,Curious Pearl,"A luxuriously soft weave with slightly raised, brushed texture (i.e., smooth and refined). Subtle color variations.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_r1i7evonvh3ive7bcmnpk9ge7a/-B540-FJPG%2CQ40,0,0,W,"Brushed texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|97&#37; Polyester, 3&#37; Nylon|Care Instructions: Cleaning Code S. Spot clean with mild, water&#8208;free cleaning solvents only. Do not use water. Pile fabrics may require brushing to restore appearance.",1
28,34,gray,brushed woven,Hearth Cement,"A luxuriously soft weave with slightly raised, brushed texture (i.e., smooth and refined). Subtle color variations.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_5fc8381av10gf95jhk3sh21b6p/-B540-FJPG%2CQ40,0,0,W,"Brushed texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|97&#37; Polyester, 3&#37; Linen|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
29,35,gray,brushed woven,Bridger Metal,"A luxuriously soft weave with slightly raised, brushed texture (i.e., smooth and refined). Subtle two-tone coloration.<br><br>Our Eco-Performance fabrics are super-durable, easy to clean and made to withstand real life. Includes REPREVE&#174; fibers made from recycled plastic bottles.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_sdo1h1i3e147t3omjt9nljsc1m/-B540-FJPG%2CQ40,1,19,W,"Brushed texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|Stain-resistant|water&#8208;repellent/68&#37; Polyester, 32&#37; REPREVE&#174; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
30,36,white,brushed woven,Curious Charcoal,"A luxuriously soft weave with slightly raised, brushed texture (i.e., smooth and refined). Subtle color variations.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_um3nk9d95977jd25sd0s7d7p3e/-B540-FJPG%2CQ40,0,0,W,"Brushed texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|97&#37; Polyester, 3&#37; Nylon|Care Instructions: Cleaning Code S. Spot clean with mild, water&#8208;free cleaning solvents only. Do not use water. Pile fabrics may require brushing to restore appearance.",1
31,38,blue,brushed woven,Bridger Navy,"A luxuriously soft weave with slightly raised, brushed texture (i.e., smooth and refined). Subtle two-tone coloration.<br><br>Our Eco-Performance fabrics are super-durable, easy to clean and made to withstand real life. Includes REPREVE&#174; fibers made from recycled plastic bottles.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_7jk2sksc3t2k5b49rt43i1mu5p/-B540-FJPG%2CQ40,1,24,W,"Brushed texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|Stain-resistant|water&#8208;repellent/68&#37; Polyester, 32&#37; REPREVE&#174; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
32,39,green,brushed woven,Bridger Jade,"A luxuriously soft weave with slightly raised, brushed texture (i.e., smooth and refined). Subtle two-tone coloration.<br><br>Our Eco-Performance fabrics are super-durable, easy to clean and made to withstand real life. Includes REPREVE&#174; fibers made from recycled plastic bottles.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_s1n8c3frv52vvauo6ffdfmjc68/-B540-FJPG%2CQ40,1,22,W,"Brushed texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|Stain-resistant|water&#8208;repellent/68&#37; Polyester, 32&#37; REPREVE&#174; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
33,41,white,basket weave,Liv Arctic,"Traditional basket weave with breathable texture. Clean, crisp saturated color. Multidimensional look is great for hiding wear and tear.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_e1qb67e3n97050u3urk6i7kb1n/-B540-FJPG%2CQ40,1,14,W,"Richly textured|Stain-resistant|water&#8208;repellent|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|70&#37; Polyester, 30&#37; REPREVE&#174; Polyester|Care Instructions: W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
34,42,white,basket weave,Liv Pearl,"Traditional basket weave with breathable texture. Clean, crisp saturated color with a touch of shine. Multidimensional look is great for hiding wear and tear.<br><br>Our Eco-Performance fabrics are super-durable, easy to clean and made to withstand real life. Includes REPREVE&#174; fibers made from recycled plastic bottles.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_m1amgo9cmh4094kmubtj538j3f/-B540-FJPG%2CQ40,1,3,W,"Richly textured|Stain-resistant|water&#8208;repellent|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|70&#37; Polyester, 30&#37; REPREVE&#174; Polyester|Care Instructions: W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
35,44,white,basket weave,Mason Porcelain,Traditional basket weave with breathable texture. Yarns feature color and size variations. Multidimensional look is great for hiding wear and tear.,https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_fstjl4kt7d4t3dbfq95v3upg6c/-B540-FJPG%2CQ40,0,0,WS,"Textured|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|72&#37; Polyester, 28&#37; Acrylic |Care Instructions: Cleaning Code WS. Spot clean using distilled water and water&#8208;based cleaning agents, an upholstery shampoo, foam from a mild detergent, or mild dry-cleaning cleaning solvents. Do not over wet. Pile fabrics may require brushing to restore appearance.",1
36,45,gray,basket weave,Liv Wicker,"Traditional basket weave with breathable texture. Yarns feature subtle color and size variations. Multidimensional look is great for hiding wear and tear.<br><br>Our Eco-Performance fabrics are super-durable, easy to clean and made to withstand real life. Includes REPREVE&#174; fibers made from recycled plastic bottles.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_p2rn3200fp42lfb55m68klji46/-B540-FJPG%2CQ40,1,11,W,"Richly textured|Stain-resistant|water&#8208;repellent|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|70&#37; Polyester, 30&#37; REPREVE&#174; Polyester|Care Instructions: W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
37,46,gray|brown,basket weave,Mason Flint,Traditional basket weave with breathable texture. Yarns feature color and size variations. Multidimensional look is great for hiding wear and tear.,https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_db9huo9u7544l8uuaqe8t3f05v/-B540-FJPG%2CQ40,0,0,WS,"Textured|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|72&#37; Polyester, 28&#37; Acrylic |Care Instructions: Cleaning Code WS. Spot clean using distilled water and water&#8208;based cleaning agents, an upholstery shampoo, foam from a mild detergent, or mild dry-cleaning cleaning solvents. Do not over wet. Pile fabrics may require brushing to restore appearance.",1
38,47,gray,basket weave,Liv Dove,"Traditional basket weave with breathable texture. Yarns feature subtle color and size variations. Multidimensional look is great for hiding wear and tear.<br><br>Our Eco-Performance fabrics are super-durable, easy to clean and made to withstand real life. Includes REPREVE&#174; fibers made from recycled plastic bottles.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_qi3jpe4uih2ut49a65h1fgju05/-B540-FJPG%2CQ40,1,15,W,"Richly textured|Stain-resistant|water&#8208;repellent|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|70&#37; Polyester, 30&#37; REPREVE&#174; Polyester|Care Instructions: W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
39,48,white,velvet,Contessa Vanilla,Lavishly soft to the touch. Subtle striated color variation looks chicly vintage. Short pile height with pretty shine,https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_83984cnb1p3t197agcnth3r23p/-B540-FJPG%2CQ40,0,0,W,"Luxuriously soft and smooth|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
40,49,brown,velvet,Merrimac Ecru,"A gorgeous drape. Rich, saturated color with the perfect amount of shine. Short, dense pile height.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_tl2a9qa5ud0kv5mqrbrm0lac2j/-B540-FJPG%2CQ40,0,0,SW,"Luxuriously soft and smooth|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code SW. Spot clean using distilled water and water&#8208;based cleaning agents, an upholstery shampoo, foam from a mild detergent, or mild dry-cleaning cleaning solvents. Do not over wet. Pile fabrics may require brushing to restore appearance.",1
41,5,gray,boucl&eacute;,Bloke Smoke,Looped novelty yarns create a nubby look that is cozy and soft. Tons of textural dimension.,https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_85bmcluvu554f2q6nl298g3v45/-B540-FJPG%2CQ40,0,0,W,"Lots of stylish texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
42,50,brown,velvet,Merrimac Brownstone,"A gorgeous drape. Rich, saturated color with the perfect amount of shine. Short, dense pile height.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_sd3er7qf4951f0jk6trb7gvb7d/-B540-FJPG%2CQ40,0,0,W,"Luxuriously soft and smooth|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code SW. Spot clean using distilled water and water&#8208;based cleaning agents, an upholstery shampoo, foam from a mild detergent, or mild dry-cleaning cleaning solvents. Do not over wet. Pile fabrics may require brushing to restore appearance.",1
43,51,brown,velvet,Argo Java,"Lavishly soft to the touch. Subtle striated color variation looks chicly vintage. Short pile height with pretty shine.<br><br>Our Eco-Performance fabrics are super-durable, easy to clean and made to withstand real life. Includes REPREVE&#174; fibers made from recycled plastic bottles.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_8mrlfn44st7cf5jme26fm17l2t/-B540-FJPG%2CQ40,1,13,W,"Luxuriously soft and smooth|Stain-resistant|water&#8208;repellent|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|70&#37; Polyester, 30&#37; REPREVE&#174; Polyester|Care Instructions: W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
44,52,brown,velvet,Merrimac Topaz,"A gorgeous drape. Rich, saturated color with the perfect amount of shine. Short, dense pile height.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_m39nm4vhe150t6tit18bf66539/-B540-FJPG%2CQ40,0,0,SW,"Luxuriously soft and smooth|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code SW. Spot clean using distilled water and water&#8208;based cleaning agents, an upholstery shampoo, foam from a mild detergent, or mild dry-cleaning cleaning solvents. Do not over wet. Pile fabrics may require brushing to restore appearance.",1
45,53,brown,velvet,Merrimac Brick,"A gorgeous drape. Rich, saturated color with the perfect amount of shine. Short, dense pile height.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_nkshgredn11m39r54h2rbldb3p/-B540-FJPG%2CQ40,0,0,SW,"Luxuriously soft and smooth|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code SW. Spot clean using distilled water and water&#8208;based cleaning agents, an upholstery shampoo, foam from a mild detergent, or mild dry-cleaning cleaning solvents. Do not over wet. Pile fabrics may require brushing to restore appearance.",1
